Document;Date;clean_sentence;Source;Recipient_Code;Recipient_Name;aid_type;recipient_type;Note
TDV-Faaliyet-Raporu-2023.pdf;2023;"Yurt Dışında Sürdürülen Eğitim Faaliyetleri Vakfımız 1992 yılından bu yana yurt dışında yaşayan soydaş, dindaş ve kardeş toplulukların eğitim ve kültür alanında desteklemek amacıyla; Azerbaycan, Afganistan, Bangladeş, Bulgaristan, Filistin, Gürcistan, Haiti, K.K.T.C., Kırgızistan, Kazakistan, Malezya, Moğolistan, Pakistan, Somali ve Tanzanya’da eğitim kurumları ile Kur’an kursları, öğrenci yurtları ve yetimhaneler inşa etmiş, var olanların tadilatı ve tefrişatını yaparak binlerce öğrencinin istifadesine sunulmuştur.";TDV;355;Bulgaristan;;Belirsiz;Drop
TDV-Faaliyet-Raporu-2023.pdf;2023;Yurt Dışı İnşaat İşleri 2023 faaliyet dönemimizde yurt dışında Arnavutluk, Makedonya, Bosna Hersek, Karadağ ve Kosova’da olmak üzere 5 camii inşaatı bulunmaktadır.;TDV;347;Kosova;Eğitim ve Kültürel Yardımlar;Sivil Toplum;Cami 
TDV-Faaliyet-Raporu-2023.pdf;2023;Yurt Dışı İnşaat İşleri 2023 faaliyet dönemimizde yurt dışında Arnavutluk, Makedonya, Bosna Hersek, Karadağ ve Kosova’da olmak üzere 5 camii inşaatı bulunmaktadır.;TDV;343;Makedonya;Eğitim ve Kültürel Yardımlar;Sivil Toplum;Cami
TDV-Faaliyet-Raporu-2023.pdf;2023;No Ülke- İl Proje 1 Arnavutluk-Tiran Tiran Namazgâh Camii ve Külliyesi 2 Makedonya Üsküp Camii 3 Bosna Hersek- Olovo Ahi Evran-ı Veli Camii 4 Kosova Priştine Camii 5 Karadağ Karadağ Akova Camii (TDV Konya Şubesi ile Koordineli) Arnavutluk-Tiran Namazgâh Camii ve Külliyesi Tiran meclis binasının yanında yer alan ve halk arasında “namazgâh” olarak bilinen bölgede yapılmakta olan Tiran Camii 17.650 m2’lik inşaat alanına sahip olup, mahfil ve revakları dahil olmak üzere 3.500 kişi ibadet edebilmektedir.;TDV;347;Kosova;Eğitim ve Kültürel Yardımlar;Sivil Toplum;Cami
TDV-Faaliyet-Raporu-2023.pdf;2023;No Ülke- İl Proje 1 Arnavutluk-Tiran Tiran Namazgâh Camii ve Külliyesi 2 Makedonya Üsküp Camii 3 Bosna Hersek- Olovo Ahi Evran-ı Veli Camii 4 Kosova Priştine Camii 5 Karadağ Karadağ Akova Camii (TDV Konya Şubesi ile Koordineli) Arnavutluk-Tiran Namazgâh Camii ve Külliyesi Tiran meclis binasının yanında yer alan ve halk arasında “namazgâh” olarak bilinen bölgede yapılmakta olan Tiran Camii 17.650 m2’lik inşaat alanına sahip olup, mahfil ve revakları dahil olmak üzere 3.500 kişi ibadet edebilmektedir.;TDV;343;Makedonya;Eğitim ve Kültürel Yardımlar;Sivil Toplum;Cami
TDV-Faaliyet-Raporu-2023.pdf;2023;67 Makedonya Üsküp Camii Makedonya’nın başkenti Üsküp’te 7.200 m2 alan üzerinde inşasına başlanılan cami, 3.200 kişi cemaat kapasitesine sahiptir.;TDV;343;Makedonya;Eğitim ve Kültürel Yardımlar;Sivil Toplum;Iteration
TDV-Faaliyet-Raporu-2023.pdf;2023;Kosova Priştine Camii Kosova Priştine Camii ve Külliyesi, Priştine’nin merkezinde Bulevar Narodnih Palih Boraca Caddesi üzerinde otopark olarak kullanılan 30.000 m2lik arsa üzerine inşa edilmektedir.;TDV;347;Kosova;Eğitim ve Kültürel Yardımlar;Sivil Toplum;Iteration
TDV-Faaliyet-Raporu-2023.pdf;2023;2023 Yılı İçinde Tamamlanan Yurt İçi İnşaat ve Taahhüt İşleri • TOKİ Çankaya Kara Harp Okulu Cami • TOKİ Sincan Hasan Şahan Kışlası Cami • TOKİ Tuzla Deniz Harp Okulu Camii • TOKİ Bakırköy Hava Harp Okulu Camii • Tunceli Pertek İlçe Müftülük Binası ve Kuran Kursu • Sivas Merkez Camii • Kastamonu Tosya Kız Kursu • Hatay MKÜ Cami Tadilatı • Kocatepe Camii Korkuluk ve Halat İmalatları 2024 Yılı İçinde Devam Eden Yurt İçi İnşaat ve Taahhüt İşleri • Acıbadem Bulgurlu Öğrenci Yurdu • MSB Lojmanları Camii • Muğla Bodrum Camii • Adana Ceyhan Müftülük • Mersin Müftülük Kompleksi • Mersin Yenişehir Kur’an Kursu • Eskişehir İl Müftülük Binası • Eskişehir Teknik Üniversitesi Kampüs Camii • Düzce Yurt İkmal İnşaatı • Kastamonu Merkez Öğrenci Yurdu • Çorum Hıdırlık Kur’an Kursu • ASELSAN GİM Binası • TOKİ İzmir-Güzerbahçe MSÜ KHO Cami • TOKİ İzmir-Gaziemir HAMYO Cami • TOKİ İzmir-Urla MSÜ KHO Atat Cami • TOKİ İstanbul Beşiktaş MSÜ Rektörlük Cami • TOKİ Yalova DAMYO Cami 172 • TOKİ Balıkesir KAMYO Cami • Balıkesir Susurluk İş Merkezi • Kocatepe Tadilat ve Tamirat İşleri 2024 Yılı İçinde Devam Eden Yurt Dışı İnşaat ve Taahhüt İşleri • Arnavutluk Tiran Cami • Makedonya Üsküp Cami • Kosova Piştine Cami • KKTC Hala Sultan Camii İlave İşler • Karadağ Akova Camii Kocatepe Camii KKTC Hala Sultan Camii 3.3.2.;TDV;347;Kosova;;Belirsiz;Iteration
TDV-Faaliyet-Raporu-2023.pdf;2023;2023 Yılı İçinde Tamamlanan Yurt İçi İnşaat ve Taahhüt İşleri • TOKİ Çankaya Kara Harp Okulu Cami • TOKİ Sincan Hasan Şahan Kışlası Cami • TOKİ Tuzla Deniz Harp Okulu Camii • TOKİ Bakırköy Hava Harp Okulu Camii • Tunceli Pertek İlçe Müftülük Binası ve Kuran Kursu • Sivas Merkez Camii • Kastamonu Tosya Kız Kursu • Hatay MKÜ Cami Tadilatı • Kocatepe Camii Korkuluk ve Halat İmalatları 2024 Yılı İçinde Devam Eden Yurt İçi İnşaat ve Taahhüt İşleri • Acıbadem Bulgurlu Öğrenci Yurdu • MSB Lojmanları Camii • Muğla Bodrum Camii • Adana Ceyhan Müftülük • Mersin Müftülük Kompleksi • Mersin Yenişehir Kur’an Kursu • Eskişehir İl Müftülük Binası • Eskişehir Teknik Üniversitesi Kampüs Camii • Düzce Yurt İkmal İnşaatı • Kastamonu Merkez Öğrenci Yurdu • Çorum Hıdırlık Kur’an Kursu • ASELSAN GİM Binası • TOKİ İzmir-Güzerbahçe MSÜ KHO Cami • TOKİ İzmir-Gaziemir HAMYO Cami • TOKİ İzmir-Urla MSÜ KHO Atat Cami • TOKİ İstanbul Beşiktaş MSÜ Rektörlük Cami • TOKİ Yalova DAMYO Cami 172 • TOKİ Balıkesir KAMYO Cami • Balıkesir Susurluk İş Merkezi • Kocatepe Tadilat ve Tamirat İşleri 2024 Yılı İçinde Devam Eden Yurt Dışı İnşaat ve Taahhüt İşleri • Arnavutluk Tiran Cami • Makedonya Üsküp Cami • Kosova Piştine Cami • KKTC Hala Sultan Camii İlave İşler • Karadağ Akova Camii Kocatepe Camii KKTC Hala Sultan Camii 3.3.2.;TDV;343;Makedonya;;Iteration;
TDV%20-%20Faaliyet%20Raporu%20-%202016.pdf;2016;2016 yılı içerisinde Ankara, İstanbul ve Van illerimizin Afet ve Acil Müdahale Diyanet İşleri Başkanlığınca yurt dışında Kosova, Merkezleri için gerekli malzeme temin edilerek ilgili Abhazya, Romanya, Ukrayna, Kırgızistan, Cibuti’de merkezlere gönderilmiştir.;TDV;347;Kosova;;Belirsiz;Drop
