"","Document","Date","clean_sentence","Source","Recipient_Code","Recipient_Name","aid_type","recipient_type","Note"
"1","TDV-Faaliyet-Raporu-2023.pdf","2023","Yurt Dışı İnşaat İşleri 2023 faaliyet dönemimizde yurt dışında Arnavutluk, Makedonya, Bosna Hersek, Karadağ ve Kosova’da olmak üzere 5 camii inşaatı bulunmaktadır.","TDV",347,"Kosova","Eğitim ve Kültürel Yardımlar","Sivil Toplum","Cami "
"2","TDV-Faaliyet-Raporu-2023.pdf","2023","Yurt Dışı İnşaat İşleri 2023 faaliyet dönemimizde yurt dışında Arnavutluk, Makedonya, Bosna Hersek, Karadağ ve Kosova’da olmak üzere 5 camii inşaatı bulunmaktadır.","TDV",343,"Makedonya","Eğitim ve Kültürel Yardımlar","Sivil Toplum","Cami"
"3","TDV-Faaliyet-Raporu-2023.pdf","2023","No Ülke- İl Proje 1 Arnavutluk-Tiran Tiran Namazgâh Camii ve Külliyesi 2 Makedonya Üsküp Camii 3 Bosna Hersek- Olovo Ahi Evran-ı Veli Camii 4 Kosova Priştine Camii 5 Karadağ Karadağ Akova Camii (TDV Konya Şubesi ile Koordineli) Arnavutluk-Tiran Namazgâh Camii ve Külliyesi Tiran meclis binasının yanında yer alan ve halk arasında “namazgâh” olarak bilinen bölgede yapılmakta olan Tiran Camii 17.650 m2’lik inşaat alanına sahip olup, mahfil ve revakları dahil olmak üzere 3.500 kişi ibadet edebilmektedir.","TDV",347,"Kosova","Eğitim ve Kültürel Yardımlar","Sivil Toplum","Cami"
"4","TDV-Faaliyet-Raporu-2023.pdf","2023","No Ülke- İl Proje 1 Arnavutluk-Tiran Tiran Namazgâh Camii ve Külliyesi 2 Makedonya Üsküp Camii 3 Bosna Hersek- Olovo Ahi Evran-ı Veli Camii 4 Kosova Priştine Camii 5 Karadağ Karadağ Akova Camii (TDV Konya Şubesi ile Koordineli) Arnavutluk-Tiran Namazgâh Camii ve Külliyesi Tiran meclis binasının yanında yer alan ve halk arasında “namazgâh” olarak bilinen bölgede yapılmakta olan Tiran Camii 17.650 m2’lik inşaat alanına sahip olup, mahfil ve revakları dahil olmak üzere 3.500 kişi ibadet edebilmektedir.","TDV",343,"Makedonya","Eğitim ve Kültürel Yardımlar","Sivil Toplum","Cami"
"5","TDV%20-%20Faaliyet%20Raporu%20-%202016.pdf","2016","Avrupa ve Balkanlarda Vakfımızca Desteklenen Öğrenci Sayısı : 950 Uluslararası imam hatip lisesi öğrencisi; 239 Doktora öğrencisi; UİP Öğrencisi; 2 662 Lisans üstü öğrenci; 2 Lisans öğrencisi; 45 BALKANLAR’DA DESTEKLENEN EĞİTİM KURUMLARI 1 SOFYA YÜKSEK İSLAM ENSTİTÜSÜ BULGARİSTAN/SOFYA LİSANS 95 207 2 RUSÇUK İLAHİYAT LİSESİ BULGARİSTAN/RUSÇUK ORTAÖĞRETİM 31 497 3 ŞUMNU İLAHİYAT LİSESİ BULGARİSTAN/ŞUMNU ORTAÖĞRETİM 89 577 4 MESTANLI İLAHİYAT LİSESİ BULGARİSTAN/MESTANLI ORTAÖĞRETİM 124 605 5 KEMAL ATATÜRK ULUSAL KOLEJİ ROMANYA/MECİDİYE ORTAÖĞRETİM 340 673 679 2.559 60 Faaliyet Raporu 2016 Avrupa ve Balkanlar’a yapılan dinî, insani, hayri yardımlar Ramazan Programı 8 ÜLKE 152.229 TL AVRUPA YARDIM 25 ÜLKE 6.914 HİSSE KURBAN Kurban Programı 61 Üsküp Şehitler Camii’nin tadilatı ve halılarını değiştirilmesi, sel 19.695 € Makedonya felaketinden etkilenen 2.000 aileye temizlik malzemesi dağıtımı 20.400 € Reisul Ulema Riyaset Binası inşaatının tamamlanması için yardım, 400.000 € Bosna-Hersek Saraybosna Ayvazdede ve Ramazan karşılama etkinlikleri 3.237,52 € Karadağ Kız Medresesi ve Sultan II.","TDV",343,"Makedonya","İnsani Yardım","Sivil Toplum",""
"6","TDV%20-%20Faaliyet%20Raporu%20-%202016.pdf","2016","Avrupa ve Balkanlarda Vakfımızca Desteklenen Öğrenci Sayısı : 950 Uluslararası imam hatip lisesi öğrencisi; 239 Doktora öğrencisi; UİP Öğrencisi; 2 662 Lisans üstü öğrenci; 2 Lisans öğrencisi; 45 BALKANLAR’DA DESTEKLENEN EĞİTİM KURUMLARI 1 SOFYA YÜKSEK İSLAM ENSTİTÜSÜ BULGARİSTAN/SOFYA LİSANS 95 207 2 RUSÇUK İLAHİYAT LİSESİ BULGARİSTAN/RUSÇUK ORTAÖĞRETİM 31 497 3 ŞUMNU İLAHİYAT LİSESİ BULGARİSTAN/ŞUMNU ORTAÖĞRETİM 89 577 4 MESTANLI İLAHİYAT LİSESİ BULGARİSTAN/MESTANLI ORTAÖĞRETİM 124 605 5 KEMAL ATATÜRK ULUSAL KOLEJİ ROMANYA/MECİDİYE ORTAÖĞRETİM 340 673 679 2.559 60 Faaliyet Raporu 2016 Avrupa ve Balkanlar’a yapılan dinî, insani, hayri yardımlar Ramazan Programı 8 ÜLKE 152.229 TL AVRUPA YARDIM 25 ÜLKE 6.914 HİSSE KURBAN Kurban Programı 61 Üsküp Şehitler Camii’nin tadilatı ve halılarını değiştirilmesi, sel 19.695 € Makedonya felaketinden etkilenen 2.000 aileye temizlik malzemesi dağıtımı 20.400 € Reisul Ulema Riyaset Binası inşaatının tamamlanması için yardım, 400.000 € Bosna-Hersek Saraybosna Ayvazdede ve Ramazan karşılama etkinlikleri 3.237,52 € Karadağ Kız Medresesi ve Sultan II.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum","Added"
"7","TDV%20-%20Faaliyet%20Raporu%20-%202016.pdf","2016","Avrupa ve Balkanlarda Vakfımızca Desteklenen Öğrenci Sayısı : 950 Uluslararası imam hatip lisesi öğrencisi; 239 Doktora öğrencisi; UİP Öğrencisi; 2 662 Lisans üstü öğrenci; 2 Lisans öğrencisi; 45 BALKANLAR’DA DESTEKLENEN EĞİTİM KURUMLARI 1 SOFYA YÜKSEK İSLAM ENSTİTÜSÜ BULGARİSTAN/SOFYA LİSANS 95 207 2 RUSÇUK İLAHİYAT LİSESİ BULGARİSTAN/RUSÇUK ORTAÖĞRETİM 31 497 3 ŞUMNU İLAHİYAT LİSESİ BULGARİSTAN/ŞUMNU ORTAÖĞRETİM 89 577 4 MESTANLI İLAHİYAT LİSESİ BULGARİSTAN/MESTANLI ORTAÖĞRETİM 124 605 5 KEMAL ATATÜRK ULUSAL KOLEJİ ROMANYA/MECİDİYE ORTAÖĞRETİM 340 673 679 2.559 60 Faaliyet Raporu 2016 Avrupa ve Balkanlar’a yapılan dinî, insani, hayri yardımlar Ramazan Programı 8 ÜLKE 152.229 TL AVRUPA YARDIM 25 ÜLKE 6.914 HİSSE KURBAN Kurban Programı 61 Üsküp Şehitler Camii’nin tadilatı ve halılarını değiştirilmesi, sel 19.695 € Makedonya felaketinden etkilenen 2.000 aileye temizlik malzemesi dağıtımı 20.400 € Reisul Ulema Riyaset Binası inşaatının tamamlanması için yardım, 400.000 € Bosna-Hersek Saraybosna Ayvazdede ve Ramazan karşılama etkinlikleri 3.237,52 € Karadağ Kız Medresesi ve Sultan II.","TDV",343,"Makedonya","Eğitim ve Kültürel Yardımlar","Sivil Toplum","Added"
"8","TDV%20-%20Faaliyet%20Raporu%20-%202016.pdf","2016","Murat Camii’ne ahşap kapı bedeli 11.250 € Yunanistan, Hırvatistan, Karadağ, Balkanlardaki vakıf mallarını araştırma giderleri ile Kanuni Sultan 269.942 TL Arnavutluk, Makedonya ve Macaristan Süleyman’ın türbesinin yerinin netleşmesi maksadıyla yapılan incelemeler Bulgaristan, Bosna-Hersek, Dinî idarelerinde görev yapan bazı kişilerin sağlık giderleri 40.031 TL Makedonya Balkanlarda 5 ülke Mahallinde görev yapan 84 din görevlisine destek 9 Balkan Ülkesi Dinî idarelerin tefrişat ve büro giderleri karşılanmıştır.","TDV",350,"Yunanistan","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"9","TDV%20-%20Faaliyet%20Raporu%20-%202016.pdf","2016","Murat Camii’ne ahşap kapı bedeli 11.250 € Yunanistan, Hırvatistan, Karadağ, Balkanlardaki vakıf mallarını araştırma giderleri ile Kanuni Sultan 269.942 TL Arnavutluk, Makedonya ve Macaristan Süleyman’ın türbesinin yerinin netleşmesi maksadıyla yapılan incelemeler Bulgaristan, Bosna-Hersek, Dinî idarelerinde görev yapan bazı kişilerin sağlık giderleri 40.031 TL Makedonya Balkanlarda 5 ülke Mahallinde görev yapan 84 din görevlisine destek 9 Balkan Ülkesi Dinî idarelerin tefrişat ve büro giderleri karşılanmıştır.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"10","TDV%20-%20Faaliyet%20Raporu%20-%202016.pdf","2016","Murat Camii’ne ahşap kapı bedeli 11.250 € Yunanistan, Hırvatistan, Karadağ, Balkanlardaki vakıf mallarını araştırma giderleri ile Kanuni Sultan 269.942 TL Arnavutluk, Makedonya ve Macaristan Süleyman’ın türbesinin yerinin netleşmesi maksadıyla yapılan incelemeler Bulgaristan, Bosna-Hersek, Dinî idarelerinde görev yapan bazı kişilerin sağlık giderleri 40.031 TL Makedonya Balkanlarda 5 ülke Mahallinde görev yapan 84 din görevlisine destek 9 Balkan Ülkesi Dinî idarelerin tefrişat ve büro giderleri karşılanmıştır.","TDV",343,"Makedonya","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
